seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,15.502678551255789,15.502591270807855,-5.630055415205874e-06,0.031385954008701054,0.031385954008701054,0.0,6.856717984192073,25.606694560669457,-0.0003153440820149055,-5.221817481978412e-07,0.0
11,conformal_strict_v2,15.434952029435783,15.43490017748526,-3.359396557622112e-06,0.032007458048477315,0.032007458048477315,0.0,6.856717984192073,25.606694560669457,-0.0002020071696127513,0.0,0.0
19,conformal_strict_v2,15.500656508061322,15.500603050581145,-3.448735510686771e-06,0.03946550652579242,0.03946550652579242,0.0,6.856717984192073,25.606694560669457,-0.00020682476268214849,0.0,0.0
23,conformal_strict_v2,15.634818376843342,15.634807495724433,-6.959547734749846e-07,0.03449347420758235,0.03449347420758235,0.0,6.856717984192073,25.606694560669457,0.0,-7.258095814227388e-07,0.0
31,conformal_strict_v2,15.479807151719204,15.479713690103976,-6.037683712925907e-06,0.032628962088253576,0.032628962088253576,0.0,6.856717984192073,25.606694560669457,-0.00022311831175098068,-2.741491413646463e-06,0.0
