method,hard_success_rate,hard_avg_expansions,hard_avg_time_ms,hard_avg_path_length
Hybrid A* (RS),0.8333333333333334,4562.833333333333,1070.4926196485758,14.359232258796691
CX3-D,0.8333333333333334,4619.5,1080.706733550566,14.359232258796691
CX9-A (Full),0.8333333333333334,4619.5,1166.469145178174,14.359232258796691
CX9-A (No-Stability),0.8333333333333334,4619.5,1121.584809346435,14.359232258796691
