seed,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate,num_cases
7,2.429468599804258,-0.1670541224815959,2.559563372208304,0.13009477240404513,1.0,3218
11,2.2366830120568295,-0.1670660157712321,2.3667777844608744,0.13009477240404513,1.0,3218
19,1.8363278959001554,-0.16674544025621996,1.9664226683042005,0.13009477240404513,1.0,3218
23,2.4141689601918803,-0.16716474450675609,2.5442637325959256,0.13009477240404513,1.0,3218
31,1.4375371517600963,-0.16738832307145896,1.5676319241641414,0.13009477240404513,1.0,3218
