seed,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate,num_cases
7,-0.0030642384971246495,0.0,-0.0029573740653809264,0.00010686443174372341,0.39993784959602235,3218
11,-0.00236695227446645,0.0,-0.0022935432159219065,7.34090585445432e-05,0.37849596022374143,3218
19,-0.000865911046167415,0.0,-0.000856492809976236,9.418236191179028e-06,0.39620882535736485,3218
23,-0.0008534791791513362,0.0,-0.0008077180116344164,4.576116751691974e-05,0.39341205717837163,3218
31,-0.0011304624014040875,0.0,-0.0010894706569069626,4.099174449712495e-05,0.39216904909881917,3218
