seed,mean_delta_j,median_delta_j,num_cases
7,-0.13035747276050702,-0.16737701553270423,3218
11,-0.13060546921893657,-0.16737701553270423,3218
19,-0.13009477240404513,-0.16736797459518626,3218
23,-0.13061269181785606,-0.16737701553270423,3218
31,-0.13032791927733628,-0.16736797459518626,3218
