method,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,clearance_router_mean_m_mean,clearance_router_mean_m_std,delta_clearance_mean_m_mean,delta_clearance_mean_m_std
conformal_strict_v2,0.7285667223396565,0.008780487397053623,0.06066666666666667,0.0032010800646417683,0.5486666666666666,0.004674596437325054,0.9835750929514567,0.0,0.0,0.0
probe_strict_v2,0.709274456990485,0.011776724029479213,0.05644444444444444,0.0039596732624900995,0.5424444444444444,0.004186987484759232,0.9835750929514567,0.0,0.0,0.0
