seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,3.6072681015767722,3.6072681015767722,0.0,0.061839651957737725,0.061839651957737725,0.0,6.856717984192073,25.606694560669457,0.0,0.0,0.0
11,conformal_strict_v2,3.5298781589158224,3.5298781589158224,0.0,0.060907395898073334,0.060907395898073334,0.0,6.856717984192073,25.606694560669457,0.0,0.0,0.0
19,conformal_strict_v2,3.844658636497586,3.844658636497586,0.0,0.05997513983840895,0.05997513983840895,0.0,6.856717984192073,25.606694560669457,0.0,0.0,0.0
23,conformal_strict_v2,4.572830866172049,4.572830866172049,0.0,0.05655686761963953,0.05655686761963953,0.0,6.856717984192073,25.606694560669457,0.0,0.0,0.0
31,conformal_strict_v2,3.9394598402676917,3.914945623216377,-0.006261700521698341,0.06028589185829708,0.06059664387818521,-0.031075201988813028,6.856717984192073,25.606694560669457,0.0,-0.006999038524129256,0.0
