quantile,threshold,fast_ratio,avg_latency_ms,avg_delta_l_rel,violation_rate,avg_J,avg_oracle_gap
0.0,0.003266053871315308,0.0,28.687431281367836,0.0,0.0,66.74335099722225,3.2972851492612056
0.03333333333333333,0.006000432268327305,0.03333333333333333,27.718028778067996,-1.784057828074348e-05,0.0,65.77176406554321,3.282463945188081
0.06666666666666667,0.007499637168039145,0.06666666666666667,26.849065695552984,-5.006271694931903e-05,0.0,64.89962363265848,3.2686918212100835
0.1,0.009142049045702948,0.1,25.84779824266055,-9.569551293714638e-05,0.0,63.89220006342469,3.2529936683642497
0.13333333333333333,0.01039932873117262,0.13333333333333333,24.857475286310848,-0.00019189493285303615,0.0,62.889366289994165,3.2109096596496878
0.16666666666666666,0.011524456637510389,0.16666666666666666,23.887900382008713,-0.00024488402365217837,0.0011111111111111111,61.91303951615636,3.1837445169748966
0.2,0.013295370177149561,0.2,23.00293232081458,-0.00025149755271595503,0.0022222222222222222,61.02429835139817,3.164782288584546
0.23333333333333334,0.01437909289576599,0.23333333333333334,21.960017132999685,-0.00033823849319102424,0.0022222222222222222,59.97403554085328,3.13414743105399
0.26666666666666666,0.015845040921368327,0.26666666666666666,20.981829535578274,-0.0005439937077285243,0.0044444444444444444,58.97876968519456,3.11470128805599
0.3,0.01760191580925954,0.3,19.935525858891197,-0.0007444328176607483,0.0044444444444444444,57.920352360222886,3.0617253579193697
0.3333333333333333,0.019043554038798587,0.3333333333333333,19.108646435456144,-0.0007905231204714264,0.0077777777777777776,57.08910408002946,3.0322981823344226
0.36666666666666664,0.02069983102725686,0.36666666666666664,18.137894105618923,-0.0009123615250653706,0.014444444444444444,56.10683385510197,2.9924037149210463
0.4,0.02271527100387609,0.4,17.19149839016609,-0.001088997124352169,0.017777777777777778,55.143558465809946,2.9349610063923075
0.43333333333333335,0.024331386241547737,0.43333333333333335,16.217900300204445,-0.001410574955415293,0.021111111111111112,54.13997413173396,2.8853644734270985
0.4666666666666667,0.026184594419252437,0.4666666666666667,15.202217791294162,-0.0014161811508629763,0.028888888888888888,53.11356806532584,2.79048990548798
0.5,0.028466357847619146,0.5,14.33766443909715,-0.0013130531239366968,0.04111111111111111,52.23690106484423,2.656205903956949
0.5333333333333333,0.030465584776849172,0.5333333333333333,13.441284209580367,-0.001493286361540193,0.04777777777777778,51.3198680579242,2.5598599355501492
0.5666666666666667,0.03251689693281751,0.5666666666666667,12.398100478458218,-0.0016960236649092742,0.057777777777777775,50.250272601853666,2.4248529341851612
0.6,0.03525181767586813,0.6,11.487866956481916,-0.0015572820731913405,0.07222222222222222,49.33487588552654,2.316440305944178
0.6333333333333333,0.03805364252745489,0.6333333333333333,10.477190437765481,-0.0017105438175620945,0.08444444444444445,48.304738095795514,2.126181401822474
0.6666666666666666,0.0418653853495026,0.6666666666666666,9.554491089980324,-0.0019498530852909148,0.09555555555555556,47.35086099750738,2.0590045778105375
0.7,0.04551478353939458,0.7,8.70930879680802,-0.002086880314239764,0.10444444444444445,46.49078487447696,1.9419329144511368
0.7333333333333333,0.05101603639276194,0.7333333333333333,7.695569503250429,-0.0021261514897865305,0.11777777777777777,45.44467632402774,1.8414965253948943
0.7666666666666666,0.05651602391720062,0.7666666666666667,6.936236698465008,-0.0016464302716696117,0.13444444444444445,44.67958457169719,1.72902557504712
0.8,0.06303226894511416,0.8,6.054753168524864,-0.0012016715575130707,0.1511111111111111,43.79115058782326,1.6085645911783937
0.8333333333333334,0.07145940479615359,0.8333333333333334,5.155181591463689,-0.0005440179183730433,0.1711111111111111,42.88085545326424,1.4492392440731638
0.8666666666666667,0.08314049164412117,0.8666666666666667,4.225686919332172,0.00012152700255676989,0.18666666666666668,41.954339547104354,1.1519022463318211
0.9,0.10138328649702098,0.9,3.3739905221672313,0.002540851532211833,0.2088888888888889,41.11515396702022,0.9448704447474526
0.9333333333333333,0.12751609193999763,0.9333333333333333,2.369801852037199,0.003826557775468639,0.22555555555555556,40.1042134273545,0.6806990820580188
0.9666666666666667,0.1753303651434201,0.9666666666666667,1.4674463796998478,0.007984908460383003,0.25222222222222224,39.22171639482797,0.40518985277319136
1.0,0.38082215127483676,0.9988888888888889,0.5315518994272376,0.01862794042447209,0.2777777777777778,38.30468743237563,0.009375197790723206
