seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,0.7859186039720324,0.8060998190104669,0.025035627800050978,0.10130515848353014,0.11187072715972654,-1.0565568676196402,6.875199964269996,25.833333333333332,0.1382627335467171,-0.008853365226641504,0.0
11,conformal_strict_v2,0.7558352371052148,0.7965874314623962,0.05115847017868134,0.10658794282162834,0.11777501553760099,-1.1187072715972648,6.875199964269996,25.833333333333332,0.06597791546240717,0.04731249640488297,0.0
19,conformal_strict_v2,0.7719232481170495,0.8163939163514041,0.054472072052056945,0.11187072715972654,0.11963952765692977,-0.776880049720323,6.875199964269996,25.833333333333332,0.06589737718459894,0.05134146478886701,0.0
23,conformal_strict_v2,0.758450130656985,0.7920029477251331,0.04236451033991955,0.11528899937849596,0.1199502796768179,-0.46612802983219404,6.875199964269996,25.833333333333332,0.056212000962935146,0.03876294446489176,0.0
31,conformal_strict_v2,0.7818470621481184,0.8011825323669667,0.024133664224711335,0.10814170292106899,0.11062771908017402,-0.24860161591050284,6.875199964269996,25.833333333333332,0.026688108284690638,0.023722648454016414,0.0
