index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,0.0476629744940116,0.027288377778215474,0.017317185195325602,0.09153665013747005,True
1,mp,0.025643603919978004,0.020543636014783484,-0.007582537013061517,0.04316831172028586,True
2,parasol,0.0,0.0,0.0,0.0,True
