method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
cdt_worstcase_j_v1,CDT,static_conformal_worstcase_J,3.042440137005128,2.2616018742167214,0.17228091982597887,0.017678212371590365,0.7670602858918583,0.03362704453011499,17.80780607573555,15.836003610172257
crc_static_pupper_v1,CRC,static_p_upper_rank,3.085333307633471,2.257913810395941,0.17315102548166564,0.017994661810198515,0.7670602858918583,0.03362704453011499,18.077965388525996,15.827907179713229
ours_probe_strict_v2,ours,probe+conformal,3.1727766598146436,2.2597052423024198,0.17128651336233686,0.01783700352689153,0.7670602858918583,0.03362704453011499,18.72244396785562,15.839457210212181
p5_conformal_strict_v2,p5,conformal_only,3.068443530768291,2.2633264016185786,0.17917961466749532,0.017674115039465307,0.7866998135487882,0.031072560484375136,17.690399870954543,15.829048651160939
