seed,mean_delta_j,median_delta_j,num_cases
7,-0.09376255524320182,-0.1671982642413113,3218
11,-0.1297450503589688,-0.1669180543618511,3218
19,-0.09811784629442374,-0.16714954055468434,3218
23,-0.09710367507047246,-0.1671982642413113,3218
31,-0.10293651826469946,-0.16715324880398802,3218
