seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,1.5243182248283125,1.4305556695851107,-0.06554275183879754,0.18178993163455562,0.19266625233064014,-1.0876320696084518,6.875199964269996,25.833333333333332,-0.2622140284205185,-0.03702843836821132,-0.0757928609889733
11,conformal_strict_v2,1.4860588761336557,1.3563138257746867,-0.09566005145222377,0.18800497203231822,0.18800497203231822,0.0,6.875199964269996,25.833333333333332,-0.23277965116844337,-0.07408450208439725,-0.0757928609889733
19,conformal_strict_v2,5.591216992853792,5.493099146559368,-0.0178620199047164,0.15040397762585456,0.15910503418272218,-0.870105655686762,6.875199964269996,25.833333333333332,-0.1864430394379864,-0.01101834613989263,-0.005367088970715082
23,conformal_strict_v2,1.5582742438962889,1.4611705688258163,-0.06645608469140206,0.18272218769422002,0.19515226848974518,-1.2430080795525156,6.875199964269996,25.833333333333332,-0.23720886158307655,-0.041708901432639674,-0.0757928609889733
31,conformal_strict_v2,5.704014961361171,5.601078443096472,-0.01837798190303373,0.15351149782473586,0.16096954630205096,-0.7458048477315099,6.875199964269996,25.833333333333332,-0.206702080783884,-0.01078120148764642,-0.003296000540616474
