index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,0.00866401453149205,0.008567168431727175,0.0006093388109002644,0.02100850786073543,True
1,mp,0.03282404829313747,0.006849607289589216,0.025729825788993802,0.04097721714944166,True
2,parasol,0.0,0.0,0.0,0.0,True
