method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
cdt_worstcase_j_v1,CDT,static_conformal_worstcase_J,0.7744003657658372,0.011641822052236942,0.18508390304536979,0.004827170304714391,0.7977625854568056,0.010460856466088714,1.9755159850701727,0.062352446100306345
crc_static_pupper_v1,CRC,static_p_upper_rank,1.3164916902933956,0.027796971206584767,0.18601615910503416,0.004364932206194755,0.7977625854568056,0.010460856466088714,5.617391092472954,0.13330076310209055
ours_probe_strict_v2,ours,probe+conformal,0.761902306930454,0.00947195922501577,0.18278433809819764,0.004978825378121892,0.7977625854568056,0.010460856466088714,2.876222260542922,0.06343124696913878
p5_conformal_strict_v2,p5,conformal_only,0.7877857513532505,0.011477191804723737,0.18794282162834058,0.004875935864862528,0.8077066500932256,0.010906023544985063,1.9182528374699852,0.06478402358545296
