seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,18.73173247354067,15.502591270807855,-0.2082968676864653,0.0037290242386575512,0.031385954008701054,-2.7656929770043504,6.856717984192073,25.606694560669457,-2.088303549653147,-0.16951061236626583,-0.46697574797621594
11,conformal_strict_v2,18.686655758002054,15.43490017748526,-0.2106755173745859,0.00435052827843381,0.032007458048477315,-2.7656929770043504,6.856717984192073,25.606694560669457,-1.8607431106619075,-0.1751828498430273,-0.46697574797621594
19,conformal_strict_v2,18.729204872679382,15.500603050581145,-0.2082887879628136,0.004039776258545681,0.03946550652579242,-3.542573026724674,6.856717984192073,25.606694560669457,-1.8678930580453081,-0.16419995712717664,-0.9275148128943995
23,conformal_strict_v2,18.760940145084987,15.634807495724433,-0.19994698688905774,0.004039776258545681,0.03449347420758235,-3.045369794903667,6.856717984192073,25.606694560669457,-1.9554296542865215,-0.15890242074716548,-0.6540842594354526
31,conformal_strict_v2,18.722857140892398,15.479713690103976,-0.2095092658504227,0.003107520198881293,0.032628962088253576,-2.952144188937228,6.856717984192073,25.606694560669457,-2.2206919815151105,-0.1683003135937849,-0.5550084461509741
