seed,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate,num_cases
7,-3.229141202732816,-0.16929506103855263,-3.099046430328771,0.13009477240404513,1.0,3218
11,-3.2517555805167953,-0.16907717019979998,-3.1216608081127504,0.13009477240404513,1.0,3218
19,-3.228601822098237,-0.16911458185392525,-3.098507049694191,0.13009477240404513,1.0,3218
23,-3.126132649360556,-0.16933597021967817,-2.996037876956511,0.13009477240404513,1.0,3218
31,-3.243143450788423,-0.1692149999289459,-3.113048678384377,0.13009477240404513,1.0,3218
