method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
cdt_worstcase_j_v1,CDT,static_conformal_worstcase_J,16.039557695801143,0.16847630034099864,0.007955251709136111,0.0008396057231887074,0.09142324425108764,0.007063715367327178,109.75014511138406,1.1598968378165506
crc_static_pupper_v1,CRC,static_p_upper_rank,17.770002773600332,0.17691167189823326,0.004847731510254817,0.0009973155087558243,0.09142324425108764,0.007063715367327178,121.80003846595858,1.2181849137914165
ours,ours,probe+conformal,18.7262780780399,0.02655845677523209,0.003853325046612803,0.0004712787721598229,0.09154754505904288,0.007084873458714292,128.3742406174559,0.18285790222244386
p5_conformal_strict_v2,p5,conformal_only,15.510523136940535,0.07462569675252287,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
