index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,-0.013390805509782352,0.007967208325388697,-0.021476095684180314,-7.656731494714661e-05,False
1,mp,-0.40784947905784075,0.032158813953076314,-0.46002824540061144,-0.3775132540459193,False
2,parasol,0.0,0.0,0.0,0.0,True
