seed,mean_delta_j,median_delta_j,num_cases
7,-0.28329093430062247,0.0,3218
11,-0.33286094576578273,0.0,3218
19,-0.3027693191967086,0.0,3218
23,-0.274387381695045,0.0,3218
31,-0.2829274768290346,0.0,3218
