index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,-0.05540825497618797,0.11512122207959763,-0.12512296282270788,0.14791319908518957,False
1,mp,-0.05299311165431827,0.018996063744934608,-0.08114611227711407,-0.029421137369317882,False
2,parasol,1.0925505944300204,1.0346053272142646,-0.08455099508146308,2.3234890405776665,True
