index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,-0.00545585896456084,0.0018144692117544445,-0.008591295829085865,-0.004401123290220767,True
1,mp,-0.1561478309988699,0.031737356311269636,-0.2036457153086028,-0.13169135976517876,False
2,parasol,0.0,0.0,0.0,0.0,True
