seed,mean_delta_j,median_delta_j,num_cases
7,-0.10051416659353993,0.0,3218
11,-0.12558894752007632,0.0,3218
19,-0.09710352727416521,0.0,3218
23,-0.0953546110693318,0.0,3218
31,-0.1470855535800301,0.0,3218
