method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
rational_static_v1,A,static_features_only,0.6092349739274494,0.0050992598153223444,0.19869484151646985,0.0014172472655054596,0.8170913610938471,0.004235813352738015,0.8544178923305166,0.00832051976416843
conformal_switch_static_v1,B,static_features_only,0.6003443669697983,0.006280206261214628,0.1968303293971411,0.0017660997188791545,0.8170913610938471,0.004235813352738015,0.8528904795710048,0.008573499332896539
meta_quit_probe_v1,C,probe_features_only,0.606055359303527,0.005097368525318575,0.19838408949658173,0.001417247265505452,0.8170913610938471,0.004235813352738015,1.5469966375657094,0.008380813564947891
ours_probe_strict_v2,ours,probe+conformal,0.5744676237415562,0.005490935872399786,0.1935363579863269,0.001430809749312791,0.8170913610938471,0.004235813352738015,1.5446879627209706,0.008404447483822908
p5_conformal_strict_v2,p5,conformal_only,0.6092615237064978,0.005080944259210925,0.1993163455562461,0.0014172472655054596,0.8272840273461778,0.0044460350444945835,0.8325851319219992,0.008812344265621845
