method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
cdt_worstcase_j_v1,CDT,static_conformal_worstcase_J,15.47923358851595,0.12078224578021204,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
crc_static_pupper_v1,CRC,static_p_upper_rank,15.47923358851595,0.12078224578021204,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
ours,ours,weighted_search_tree_zero_probe,0.03560056192199763,0.0019548016085846123,0.0011808576755748912,0.0003404117821660448,0.0,0.0,0.22059202262514713,0.005072313891270608
p5_conformal_strict_v2,p5,conformal_only,15.47923358851595,0.12078224578021204,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
