test,stat,p_value,ci95_low,ci95_high
bootstrap_mean_diff_gt0,1.875388799310505,0.0,1.4493566827118165,2.3361832642277154
wilcoxon_paired_greater,1.8729845363282034,1.4093632391265715e-21,,
permutation_signflip_greater,1.8729845363282034,0.0,,
cliffs_delta_base_vs_router,0.3490535424553813,,,
