strategy,n_cases_total,fast_ratio_mean,easy_fast_ratio_mean,hard_fast_ratio_mean,violation_rate_mean,violation_ci95_upper_mean,j_mean,latency_mean_ms,delta_j_vs_forced_fast,latency_improve_vs_forced_slow,ood_delta_j_vs_strongest
forced_fast,1535,1.0,1.0,1.0,0.501628664495114,0.548347095235726,2.393490727832347,0.4033913448337672,,,
forced_slow,1535,0.0,0.0,0.0,0.0,0.008735857369296414,2.2550880240880873,18.661531046941477,,,
router,1535,0.4638436482084691,0.9368421052631579,0.03333333333333333,0.04104234527687296,0.06394532638998787,1.007125606155417,6.74500160479724,0.5792231010364033,0.6385611883703021,0.565330446217184
strongest_baseline,1535,0.7407166123778501,0.9236842105263158,0.5358974358974359,0.27557003257328994,0.319335264707517,1.8310301123551695,2.7430758655301815,,,
