claim,n,mean,std,ci95_low,ci95_high,p_value_wilcoxon,direction,pass_p_lt_0_01,pass_ci_not_cross_0,pass_all
exp12_latency_improve_theta_ms,6000,0.7497479588491842,1.39841707417569,0.714313601609077,0.7856145304889651,0.0,>0,True,True,True
exp3_success_gain_full_vs_no_rs,90,0.5555555555555556,0.4996877926639077,0.45555555555555555,0.6555555555555556,7.687298972140174e-13,>0,True,True,True
exp4_expansion_gain_ours_vs_hybrid,90,192.72222222222223,523.7678752473023,94.02111111111111,306.9908333333333,0.0009003680999702531,>0,True,True,True
mixed_target_j_improve_vs_p5,4500,0.03550787494557792,0.5227777166031514,0.020881406980988712,0.051613558675997796,1.2579298666114097e-05,>0,True,True,True
