method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
cdt_worstcase_j_v1,CDT,static_conformal_worstcase_J,1.0351143232343785,0.01913840790516174,0.029645742697327532,0.0028191220460016715,0.39092604101926665,0.008040614687964933,7.168706188783237,0.1592274074289899
crc_static_pupper_v1,CRC,static_p_upper_rank,1.0364047436735184,0.019256729521109173,0.029583592293349902,0.002782922706928291,0.39092604101926665,0.008040614687964933,7.18076787394112,0.16255787656308082
ours,ours,probe+conformal,1.090669473139209,0.01772396017597462,0.0290863890615289,0.0028868176911108984,0.39092604101926665,0.008040614687964933,7.6130853471420865,0.1505926811184555
p5_conformal_strict_v2,p5,conformal_only,1.0346658542117984,0.019029171532048313,0.02970789310130516,0.002740966696233678,0.3920447482908639,0.008140872625243711,7.162957219660197,0.16004315868738483
