index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,-0.0035673685755569966,0.006346887737105874,-0.009545985653244762,0.007139231359736797,True
1,mp,-0.07689892628047887,0.016469043602622527,-0.09749644850437016,-0.058572098635759386,False
2,parasol,0.0,0.0,0.0,0.0,True
