seed,mean_delta_j,median_delta_j,num_cases
7,-0.04559914029516132,0.0,3218
11,-0.06389424541620195,0.0,3218
19,-0.04453300619955466,0.0,3218
23,-0.05808494664695196,0.0,3218
31,-0.06768692459176141,0.0,3218
