method,avg_latency_ms,violation_rate,J_mean,oracle_gap,ratio_fast,ratio_mid,ratio_slow
always_fast,0.4902499694948191,0.2886886264760721,1.0742205510130185,1.9869653673638565,1.0,0.0,0.0
always_mid,1.5678863447941516,0.03791174642635177,0.8087821631864364,1.2488904246910384,0.0,1.0,0.0
always_slow,2.6864424660296,0.0,1.1528336326230693,2.2055560021916243,0.0,0.0,1.0
portfolio_router_v1,1.5609645437991284,0.037352392790553135,0.7779968623276329,1.1632891695275553,0.08875077688004972,0.8004350528278433,0.1108141702921069
