seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,15.632948743568363,15.502591270807855,-0.008408753767892836,0.031385954008701054,0.031385954008701054,0.0,6.856717984192073,25.606694560669457,-0.17058496934093503,-0.0058341510821138835,-0.00169519315605814
11,conformal_strict_v2,15.565505646704194,15.43490017748526,-0.008461698340585827,0.032007458048477315,0.032007458048477315,0.0,6.856717984192073,25.606694560669457,-0.16759106887116937,-0.005879417664500027,-0.00169519315605814
19,conformal_strict_v2,15.630697822985187,15.500603050581145,-0.00839288458516878,0.03946550652579242,0.03946550652579242,0.0,6.856717984192073,25.606694560669457,-0.16643445423980946,-0.0057899644058404445,-0.002101281139088052
23,conformal_strict_v2,15.765420187542288,15.634807495724433,-0.008353968659580463,0.03449347420758235,0.03449347420758235,0.0,6.856717984192073,25.606694560669457,-0.17317236993399704,-0.005798255713055089,-0.00169519315605814
31,conformal_strict_v2,15.610041609381314,15.479713690103976,-0.008419271950789078,0.032628962088253576,0.032628962088253576,0.0,6.856717984192073,25.606694560669457,-0.1819390501203373,-0.005834966183456327,-0.00169519315605814
