index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,-0.15381288407112279,0.0,-0.15381288407112279,-0.15381288407112279,False
1,mp,-0.12132234786697153,0.0003030199105013074,-0.12162040003731141,-0.12089576322268374,False
2,parasol,-0.11961814000189663,8.062266159279859e-17,-0.11961814000189677,-0.11961814000189659,False
