method,family,info_used,J_mean_mean,J_mean_std,V_mean,V_std,use_fast_ratio_mean,use_fast_ratio_std,total_latency_mean_ms_mean,total_latency_mean_ms_std
cdt_worstcase_j_v1,CDT,static_conformal_worstcase_J,15.510523136940535,0.07462569675252287,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
crc_static_pupper_v1,CRC,static_p_upper_rank,15.510523136940535,0.07462569675252287,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
ours,ours,probe+conformal,15.510523136940535,0.07462569675252287,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
p5_conformal_strict_v2,p5,conformal_only,15.510523136940535,0.07462569675252287,0.03399627097576134,0.003271024827082853,0.35357364822871346,0.013024551007334545,105.71396004667909,0.505711255570107
