seed,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate,num_cases
7,0.0,0.0,0.0,0.0,0.0,3218
11,0.0,0.0,0.0,0.0,0.0,3218
19,0.0,0.0,0.0,0.0,0.0,3218
23,0.0,0.0,0.0,0.0,0.0,3218
31,0.0,0.0,0.0,0.0,0.0,3218
