seed,strongest_baseline,j_ours,j_strongest,j_improve_vs_strongest,risk_ours,risk_strongest,risk_delta_vs_strongest_pct,t_ref,beta,delta_j_csm,delta_j_mp,delta_j_parasol
7,conformal_strict_v2,1.0762405843307041,1.01758692528543,-0.05763994955892543,0.031075201988812928,0.031696706028589185,-0.06215040397762571,7.4977200711146,25.606694560669457,-0.09604095399899995,-0.03928763760130076,-0.014969673954957192
11,conformal_strict_v2,1.119085147194291,1.0645710619894553,-0.05120755875419031,0.02579241765071473,0.026413921690490987,-0.06215040397762571,7.4977200711146,25.606694560669457,-0.08049635309754401,-0.03574423865864725,-0.011970046535878956
19,conformal_strict_v2,1.0854775508067462,1.0283280540278243,-0.0555751606261007,0.030764449968924797,0.031385954008701054,-0.06215040397762571,7.4977200711146,25.606694560669457,-0.09115314421411651,-0.038517508358916,-0.010033661594953011
23,conformal_strict_v2,1.0769103957616974,1.0213914523069856,-0.05435618570070557,0.02610316967060286,0.027035425730267248,-0.09322560596643874,7.4977200711146,25.606694560669457,-0.08881795673486616,-0.03667633650894428,-0.017880851141280806
31,conformal_strict_v2,1.095633687602606,1.0414517774492966,-0.05202536624980438,0.031696706028589185,0.032007458048477315,-0.031075201988813028,7.4977200711146,25.606694560669457,-0.09295659179688677,-0.032610500169621276,-0.013690388914790361
