index,source_dataset,mean_delta_j_mean,mean_delta_j_std,mean_delta_j_min,mean_delta_j_max,direction_positive
0,csm,-0.11309606098877963,0.002715123029316347,-0.11645053467917589,-0.10916539609009368,False
1,mp,-0.033663076117214766,0.002016851793057292,-0.036005087471648226,-0.030698780956878002,False
2,parasol,-0.056006430495114404,0.006963376289734068,-0.0627940228691103,-0.046085284281874056,False
