method,avg_latency_ms,violation_rate,J_mean,oracle_gap,ratio_fast,ratio_mid,ratio_slow
always_fast,0.4902499694948191,0.2886886264760721,1.0742205510130185,1.9869653673638565,1.0,0.0,0.0
always_mid,1.5678863447941516,0.03791174642635177,0.8087821631864364,1.2488904246910384,0.0,1.0,0.0
always_slow,2.6864424660296,0.0,1.1528336326230693,2.2055560021916243,0.0,0.0,1.0
portfolio_router_v1,1.611720340464911,0.034928527035425726,0.8014986433120921,1.2286379527041114,0.06954630205096332,0.8032318210068364,0.12722187694220013
